idx,SN,zhel_spec,tmax(B)_spec,tmax(B)_err_spec,ref_spec,Dm15_spec,Dm15_err_spec,ref1_spec,M_B_spec,M_B_err_spec,B-V_spec,B-V_err_spec,Bm-Vm_spec,Bm-Vm_err_spec,Phot_ref_spec,ref..2,n_spec,RA,DEC,z_CMB,z_CMB_salt2_err,m_B_salt2,m_B_salt2_err,x_1_salt2,x_1_salt2_err,c_salt2,c_salt2_err,mu_salt2,mu_salt2_err,EW5972_spec,EW6355_spec,v6355_spec,Phase_spec,BClass_spec,WClass_spec,SNIa_salt,z_cmb_salt,z_err_salt,m_B_salt,m_B_err_salt,s_salt,s_err_salt,c_salt,c_err_salt,mu_salt,mu_err_salt,SNIa_ml31,z_ml31,z_err_ml31,x1_ml31,x1_err_ml31,c_ml31,c_err_ml31,mu_ml31,mu_err_ml31
58,2000dk,0.0175,51812.6,0.2,"B,M,SA,SN",1.62,0.05,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA2,,9.0,16.848,32.40644444444445,0.016,0.001,15.347000000000001,0.016,-2.496,0.267,0.062,0.016,34.376,0.23800000000000002,41.6,121.5,-11035.0,0.8,CL,N,2000dk,0.016,0.001,15.33,0.276,0.73,0.01,0.05,0.01,34.33,0.325,sn00dk,0.016,0.001,0.594,0.069,0.037000000000000005,0.039,34.375,0.203
59,2000dm,0.0149,51815.0,0.4,"B,M,SA,SN",1.46,0.04,B,-19.18,0.09,-0.14,0.05,-0.14,0.05,Gan10,,1.0,274.7457083333333,16.248166666666666,,,,,,,,,,,23.6,92.6,-11440.0,-2.9,CN,N,,,,,,,,,,,,,,,,,,,,
60,2000dn,0.0321,51824.2,0.3,"B,M,SA,SN",1.04,0.04,B,-19.38,0.07,-0.14,0.04,-0.12,0.04,Gan10,,4.0,346.27441666666664,-3.2002777777777784,,,,,,,,,,,13.9,99.0,-10260.0,-0.9,CN,N,,,,,,,,,,,,,,,,,,,,
61,2000fa,0.0213,51892.1,0.2,"B,M,SA,SN",1.0,0.06,B,-19.52,0.07,-0.13,0.06,-0.12,0.06,CfA2,,15.0,108.87449999999998,23.42844444444445,0.022000000000000002,0.001,15.864,0.021,0.361,0.13,0.099,0.015,35.098,0.209,10.5,87.1,-11727.0,1.3,CN,N,2000fa,0.022,0.001,15.84,0.258,0.96,0.03,0.08,0.02,35.048,0.29600000000000004,sn00fa,0.022000000000000002,0.001,-0.124,0.062,0.46799999999999997,0.098,34.925,0.195
62,2001E,0.0191,51925.6,0.8,"B,M,SA,SN",0.92,0.06,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,Gan10,,4.0,177.27083333333331,-9.73636111111111,,,,,,,,,,,11.4,118.3,-14035.0,2.8,BL,HV,,,,,,,,,,,,,,,,,,,,
63,2001G,0.0168,51929.6,2.2,"M,SA",9.99,9.99,,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3,,15.0,137.38825,50.28091666666666,,,,,,,,,,,14.3,73.8,-11393.0,4.7,CN,N,sn01G,0.017,0.001,14.857,0.14,0.892,0.009000000000000001,-0.037000000000000005,0.017,34.285,0.218,,,,,,,,,
64,2001N,0.021,51930.8,0.0,SA,9.99,9.99,,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3,,9.0,159.99200000000005,24.090555555555554,0.022000000000000002,0.001,16.552,0.028999999999999998,-0.602,0.268,0.369,0.021,35.016999999999996,0.213,11.2,109.3,-13942.0,0.7,BL,HV,,,,,,,,,,,,,,,,,,,,
65,2001V,0.0151,51972.8,0.4,"B,M,SA,SN",0.82,0.05,B,-19.6,0.06,-0.09,0.05,-0.05,0.05,CfA3,,38.0,179.353875,25.2025,,,,,,,,,,,9.1,57.0,-11449.0,-3.3,SS,91T,,,,,,,,,,,,,,,,,,,,
66,2001ay,0.0302,52022.0,0.8,Kri10,0.68,0.05,Kri10,-99.99,9.99,-9.99,9.99,-9.99,9.99,"CfA3,Kri10",,15.0,216.57083333333333,26.24883333333333,,,,,,,,,,,7.8,147.5,-14530.0,1.3,BL,HV,,,,,,,,,,,,,,,,,,,,
67,2001az,0.0407,52032.6,0.6,"B,M,SA,SN",1.09,0.06,B,-19.44,0.1,-0.1,0.05,-0.09,0.05,CfA3,,5.0,248.6154583333333,76.02966666666667,0.040999999999999995,0.001,16.891,0.028999999999999998,0.47200000000000003,0.34700000000000003,-0.044000000000000004,0.016,36.492,0.183,2.7,62.5,-11713.0,-3.1,SS,91T,sn01az,0.041,0.001,16.983,0.14,0.934,0.055,0.004,0.015,36.355,0.175,sn01az,0.040999999999999995,0.001,-0.03,0.10400000000000001,0.08800000000000001,0.07200000000000001,36.472,0.149
68,2001bf,0.0156,52045.7,0.8,"B,M,SA,SN",0.99,0.06,B,-19.52,0.1,-0.11,0.06,-0.1,0.05,CfA3,,9.0,270.391625,26.25063888888889,0.015,0.001,14.682,0.016,0.718,0.146,0.011000000000000001,0.012,34.172,0.244,13.8,120.9,-10484.0,0.8,BL,N,sn01bf,0.015,0.001,14.73,0.138,1.031,0.006,0.067,0.004,34.059,0.229,sn01bf,0.015,0.001,-0.17300000000000001,0.07400000000000001,0.26899999999999996,0.113,34.044000000000004,0.228
69,2001bg,0.0072,52040.0,0.4,"B,M,SA,SN",1.06,0.03,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,Gan10,,5.0,128.8285833333333,28.468277777777768,,,,,,,,,,,12.8,126.1,-12054.0,4.2,BL,HV,,,,,,,,,,,,,,,,,,,,
70,2001br,0.0209,52050.9,0.8,"B,M,SA,SN",1.16,0.04,B,-19.22,0.08,-0.14,0.05,-0.13,0.05,Gan10,,5.0,277.6064583333333,34.103611111111114,,,,,,,,,,,10.3,94.2,-13509.0,-0.4,CN,HV,,,,,,,,,,,,,,,,,,,,
71,2001ck,0.0347,52072.3,0.2,"B,M,SA,SN",1.05,0.05,B,-19.44,0.08,-0.12,0.04,-0.12,0.04,Gan10,,4.0,219.45866666666663,30.48394444444445,,,,,,,,,,,16.0,83.8,-10896.0,4.8,CN,N,,,,,,,,,,,,,,,,,,,,
72,2001cp,0.0224,52088.4,0.1,"B,M,SA,SN",0.88,0.03,B,-19.63,0.08,-0.15,0.04,-0.15,0.04,"CfA3,Gan10",,8.0,257.76075,5.840777777777778,0.022000000000000002,0.001,15.11,0.17600000000000002,-1.851,1.162,-0.341,0.106,35.204,0.39399999999999996,4.1,78.9,-10687.0,0.8,CN,N,sn01cp,0.022,0.001,15.425,0.139,1.141,0.0,-0.14800000000000002,0.012,35.447,0.19,sn01cp,0.022000000000000002,0.001,0.054000000000000006,0.177,0.1,0.076,35.003,0.242
73,2001da,0.0172,52106.5,1.3,"B,M,SA,SN",1.12,0.03,B,-19.29,0.07,-0.08,0.04,-0.02,0.04,"CfA3,Gan10",,7.0,358.3865833333333,8.11738888888889,0.016,0.001,15.366,0.034,-4.263,0.815,0.033,0.036000000000000004,34.284,0.267,25.1,113.7,-11750.0,-0.0,BL,N,sn01da,0.016,0.001,15.345999999999998,0.138,0.908,0.001,0.098,0.011,34.443000000000005,0.224,sn01da,0.016,0.001,-0.038,0.09,0.21899999999999997,0.129,34.562,0.237
74,2001eh,0.0371,52169.5,0.3,"B,M,SA",0.92,0.06,B,-19.64,0.08,-0.09,0.04,-0.09,0.04,CfA3,,16.0,24.550416666666663,41.65522222222222,0.036000000000000004,0.001,16.572,0.013999999999999999,1.159,0.11199999999999999,0.016,0.013000000000000001,36.095,0.18,7.7,58.0,-10706.0,-0.1,SS,91T,sn01eh,0.036000000000000004,0.001,16.567999999999998,0.138,1.188,0.01,0.033,0.005,36.18,0.16,sn01eh,0.036000000000000004,0.001,-0.275,0.040999999999999995,0.027999999999999997,0.027000000000000003,36.295,0.124
75,2001en,0.0164,52191.9,1.2,"B,M,SA,SN",1.12,0.07,B,-19.32,0.09,-0.09,0.06,-0.07,0.07,"CfA3,Gan10",,9.0,21.345416666666665,34.02513888888889,0.015,0.001,15.062000000000001,0.047,-1.13,0.18600000000000005,0.085,0.025,34.176,0.252,8.9,132.3,-13107.0,1.5,BL,HV,,,,,,,,,,,,sn01en,0.015,0.001,0.065,0.07200000000000001,0.2,0.09300000000000001,34.249,0.22699999999999998
76,2001ep,0.013,52199.6,0.5,"B,M,SA,SN",1.3,0.06,B,-19.27,0.07,-0.1,0.04,-0.07,0.05,CfA3,,23.0,74.25108333333333,-4.761166666666667,0.013000000000000001,0.001,14.869000000000002,0.012,-1.2,0.138,0.132,0.012,33.859,0.268,29.6,110.5,-10810.0,-0.2,BL,N,,,,,,,,,,,,sn01ep,0.013000000000000001,0.001,0.081,0.068,0.474,0.085,33.795,0.24600000000000002
77,2001ex,0.0264,52204.1,0.5,"B,M",1.56,0.12,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,Gan10,,1.0,103.99954166666666,55.40083333333333,,,,,,,,,,,33.7,106.6,-9951.0,-3.5,CL,N,,,,,,,,,,,,,,,,,,,,
78,2001fe,0.0134,52229.2,0.1,"B,M,SA,SN",1.0,0.07,B,-19.5,0.07,-0.08,0.05,-0.07,0.05,CfA3,,12.0,144.48791666666662,25.494805555555555,0.013999999999999999,0.001,14.636,0.017,0.36,0.136,0.015,0.015,34.078,0.254,17.0,69.6,-11123.0,0.3,CN,N,,,,,,,,,,,,sn01fe,0.013999999999999999,0.001,-0.141,0.054000000000000006,0.168,0.086,34.124,0.23399999999999999
79,2001fh,0.0123,52223.8,0.1,"B,M,SA,SN",1.51,0.08,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,"CfA3,Gan10",,6.0,320.17708333333326,44.398111111111106,0.011000000000000001,0.001,14.199000000000002,0.021,-2.503,0.301,-0.033,0.021,33.463,0.294,20.8,81.6,-11028.0,-1.7,CN,N,,,,,,,,,,,,sn01fh,0.011000000000000001,0.001,0.583,0.111,0.15,0.126,33.728,0.272
80,2001gc,0.0193,52243.9,2.0,BSNIP,9.99,9.99,,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3,,9.0,88.85891666666666,51.9095,,,,,,,,,,,10.8,136.5,-14332.0,3.4,BL,HV,,,,,,,,,,,,,,,,,,,,
81,2002G,0.0338,52299.1,1.4,"B,M,SA,SN",1.25,0.04,B,-19.35,0.09,-0.1,0.05,-0.19,0.05,"CfA3,Gan10",,2.0,196.98025,34.085138888888885,0.035,0.001,17.511,0.076,-2.017,0.7070000000000001,0.25,0.048,36.125,0.239,19.1,90.8,-12089.0,-2.5,CN,N,sn02G,0.035,0.001,17.52,0.14400000000000002,0.8009999999999999,0.032,0.255,0.022,36.077,0.18,,,,,,,,,
82,2002aw,0.0265,52324.4,0.9,"B,M,SA,SN",1.05,0.06,B,-19.38,0.08,-0.12,0.06,-0.06,0.06,Gan10,,3.0,249.37108333333333,40.88063888888889,,,,,,,,,,,16.5,70.8,-11183.0,-0.9,CN,N,,,,,,,,,,,,,,,,,,,,
83,2002bf,0.0244,52337.4,1.1,"B,M,SA",1.12,0.08,B,-19.34,0.09,-0.09,0.07,-0.05,0.07,"CfA3,Jha07",,13.0,153.92629166666666,55.668527777777776,0.025,0.001,16.305,0.04,-0.389,0.18899999999999997,0.228,0.025,35.143,0.209,9.1,139.0,-15151.0,1.8,BL,HV,sn02bf,0.025,0.001,16.584,0.138,0.731,0.005,0.272,0.008,35.01,0.18,sn02bf,0.025,0.001,-0.147,0.064,0.337,0.136,35.433,0.196
84,2002bo,0.0043,52356.7,0.7,"B,M,SA",1.08,0.04,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,"CfA3,Jha07",,36.0,154.52712499999996,21.82825,,,,,,,,,,,9.7,145.3,-13198.0,-0.6,BL,HV,,,,,,,,,,,,,,,,,,,,
85,2002cd,0.0104,52383.2,0.4,"B,M,SA,SN",0.84,0.05,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,"CfA3,Gan10",,15.0,305.89341666666667,58.3465,,,,,,,,,,,6.2,114.4,-15210.0,0.3,BL,HV,,,,,,,,,,,,,,,,,,,,
86,2002cf,0.0154,52384.8,0.3,"B,M",1.78,0.11,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,Gan10,,1.0,193.63041666666663,-6.8568888888888875,,,,,,,,,,,42.2,99.1,-11785.0,-5.4,CL,91bg,,,,,,,,,,,,,,,,,,,,
87,2002ck,0.0298,52397.0,0.6,"B,SA",1.08,0.09,B,-19.43,0.08,-0.1,0.06,-0.08,0.06,CfA3,,8.0,236.75312499999995,-0.9904166666666666,0.03,0.001,16.289,0.015,-0.10099999999999999,0.122,-0.018000000000000002,0.015,35.764,0.188,7.6,73.9,-10277.0,0.3,CN,N,sn02ck,0.03,0.001,16.305,0.14,0.974,0.006,0.029,0.006999999999999999,35.661,0.17,sn02ck,0.03,0.001,-0.057999999999999996,0.073,0.139,0.08900000000000001,35.771,0.16899999999999998
88,2002cr,0.0094,52408.6,0.5,"B,M,SA,SN",1.19,0.06,B,-19.45,0.07,-0.15,0.05,-0.14,0.04,CfA3,,7.0,211.656625,-5.439416666666667,0.01,0.001,14.190999999999999,0.018000000000000002,-0.652,0.11599999999999999,0.031,0.015,33.489000000000004,0.311,19.3,101.6,-10026.0,0.7,CN,N,,,,,,,,,,,,sn02cr,0.01,0.001,-0.027000000000000003,0.061,0.27,0.09699999999999999,33.506,0.292
89,2002cs,0.0158,52410.0,0.7,"B,SA,SN",0.99,0.03,B,-19.55,0.09,-0.21,0.05,-0.17,0.04,Gan10,,5.0,281.7498333333333,45.70547222222223,,,,,,,,,,,13.0,125.3,-13484.0,3.3,BL,HV,,,,,,,,,,,,,,,,,,,,
90,2002cu,0.0228,52415.9,0.4,"B,M,SA,SN",1.35,0.03,B,-19.08,0.08,-0.09,0.05,-0.18,0.06,Gan10,,3.0,272.71,31.10897222222223,,,,,,,,,,,17.1,129.1,-12942.0,-3.3,BL,HV,,,,,,,,,,,,,,,,,,,,
91,2002cx,0.024,52415.7,1.5,"B,M",1.51,0.09,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,"Jha07,Gan10",,5.0,198.45716666666667,6.958861111111113,,,,,,,,,,,7.4,18.4,-5451.0,-1.4,SS,-,,,,,,,,,,,,,,,,,,,,
92,2002de,0.028,52433.5,0.6,"B,M,SA",0.96,0.04,B,-19.51,0.08,-0.16,0.04,-0.26,0.11,"CfA3,Gan10",,11.0,244.12658333333331,35.70838888888889,0.027999999999999997,0.001,16.624000000000002,0.013000000000000001,-0.042,0.397,0.16399999999999998,0.013000000000000001,35.655,0.195,10.6,58.7,-11293.0,1.8,SS,N,sn02de,0.028,0.001,16.651,0.138,1.015,0.023,0.177,0.006999999999999999,35.675,0.174,sn02de,0.027999999999999997,0.001,-0.154,0.21,0.506,0.124,35.631,0.193
93,2002dj,0.0093,52450.6,0.2,"B,M,SA,SN",1.19,0.05,B,-19.35,0.07,-0.07,0.05,-0.05,0.04,"CfA3,Gan10",,7.0,198.25141666666664,-19.519083333333327,0.01,0.001,13.95,0.011000000000000001,-0.114,0.146,0.17,0.012,32.96,0.308,7.6,146.8,-14244.0,-3.6,BL,HV,,,,,,,,,,,,sn02dj,0.01,0.001,-0.204,0.114,0.415,0.114,33.126999999999995,0.29600000000000004
94,2002dl,0.0163,52452.0,0.0,"B,M",1.76,0.05,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,Gan10,,4.0,335.2248333333333,33.29269444444444,,,,,,,,,,,33.8,76.3,-11779.0,-6.5,CL,91bg,,,,,,,,,,,,,,,,,,,,
95,2002do,0.0159,52442.4,0.9,"B,M",1.56,0.08,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,"CfA3,Gan10",,5.0,299.05366666666663,40.43633333333333,0.015,0.001,15.45,0.111,-3.563,0.441,0.027999999999999997,0.052000000000000005,34.453,0.3,21.9,66.6,-11131.0,2.0,CN,N,sn02do,0.015,0.001,15.576,0.139,0.615,0.006,0.096,0.006999999999999999,34.315,0.23,sn02do,0.015,0.001,0.7390000000000001,0.11900000000000001,0.14,0.10400000000000001,34.305,0.223
96,2002dp,0.0117,52450.3,0.2,"B,M,SA,SN",1.12,0.04,B,-19.39,0.1,-0.11,0.05,-0.09,0.05,CfA3,,7.0,352.12549999999993,22.42744444444445,0.011000000000000001,0.001,14.548,0.013999999999999999,-0.654,0.22699999999999998,0.145,0.013999999999999999,33.562,0.307,25.8,107.0,-11426.0,-4.8,BL,N,,,,,,,,,,,,sn02dp,0.011000000000000001,0.001,0.03,0.14,0.47200000000000003,0.124,33.505,0.293
97,2002ef,0.0236,52490.4,0.4,"B,M,SA,SN",1.06,0.04,B,-19.34,0.08,-0.06,0.04,-0.19,0.03,Gan10,,1.0,357.8730833333333,-13.379555555555555,,,,,,,,,,,11.9,74.6,-11769.0,-2.9,CN,N,,,,,,,,,,,,,,,,,,,,
98,2002er,0.0091,52524.9,0.5,"B,M,SA,SN",1.23,0.03,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,Jha07,,2.0,257.87449999999995,7.995777777777778,,,,,,,,,,,15.6,91.5,-11817.0,0.9,CN,N,,,,,,,,,,,,,,,,,,,,
99,2002es,0.018000000000000002,52518.3,0.3,BSNIP,9.99,9.99,,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3,,6.0,50.94679166666666,40.564861111111114,0.018000000000000002,0.001,16.573,0.04,-1.844,0.264,0.408,0.027999999999999997,34.815,0.24,40.3,84.4,-5890.0,2.1,CL,91bg,,,,,,,,,,,,sn02es,0.018000000000000002,0.001,0.326,0.151,0.6759999999999999,0.188,34.415,0.235
100,2002eu,0.0376,52519.3,0.2,"B,M",1.52,0.08,B,-19.17,0.1,-0.17,0.07,-0.08,0.05,"CfA3,Gan10",,7.0,27.431666666666665,32.62861111111111,,,,,,,,,,,39.1,112.7,-11418.0,1.1,CL,N,,,,,,,,,,,,,,,,,,,,
101,2002fb,0.0156,52529.1,1.3,"B,M",1.77,0.11,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,"CfA3,Gan10",,7.0,29.45375,36.34063888888889,,,,,,,,,,,40.9,101.2,-10864.0,0.3,CL,91bg,,,,,,,,,,,,sn02fb,0.015,0.001,1.278,0.085,0.687,0.153,34.209,0.23
102,2002fk,0.0075,52547.9,0.4,"B,M,SA,SN",1.13,0.03,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,"CfA3,Gan10",,24.0,50.52379166666666,-15.400888888888893,,,,,,,,,,,10.3,75.7,-10057.0,-1.5,CN,N,,,,,,,,,,,,,,,,,,,,
103,2002ha,0.0144,52580.4,0.6,"B,M,SA,SN",1.22,0.04,B,-19.24,0.07,-0.15,0.04,-0.12,0.05,CfA3,,6.0,311.82741666666664,0.31266666666666665,0.013000000000000001,0.001,14.671,0.02,-1.7309999999999999,0.248,-0.028999999999999998,0.018000000000000002,34.006,0.266,25.3,106.7,-11154.0,1.7,BL,N,,,,,,,,,,,,sn02ha,0.013000000000000001,0.001,0.196,0.08900000000000001,0.106,0.08199999999999999,34.032,0.239
104,2002hd,0.035,52575.1,0.5,"B,SA",1.16,0.11,B,-19.39,0.1,-0.07,0.06,-0.01,0.06,CfA3,,3.0,133.51954166666664,-7.183277777777778,0.036000000000000004,0.001,16.709,0.016,-0.7759999999999999,0.439,0.092,0.015,35.843,0.187,24.1,111.4,-11220.0,1.4,BL,N,sn02hd,0.036000000000000004,0.001,16.586,0.142,0.86,0.019,0.047,0.011,35.757,0.16699999999999998,sn02hd,0.036000000000000004,0.001,0.131,0.14300000000000002,0.235,0.14400000000000002,35.82,0.20199999999999999
105,2002he,0.0246,52585.8,0.2,"B,M,SA,SN",1.44,0.06,B,-19.08,0.09,-0.08,0.06,-0.07,0.07,"CfA3,Gan10",,5.0,124.995125,62.82033333333334,0.025,0.001,16.230999999999998,0.039,-2.1180000000000003,0.268,0.012,0.026000000000000002,35.424,0.21,22.8,113.8,-13002.0,-3.2,BL,HV,sn02he,0.025,0.001,16.23,0.139,0.778,0.008,0.042,0.006999999999999999,35.311,0.181,sn02he,0.025,0.001,0.493,0.114,0.07200000000000001,0.061,35.286,0.196
106,2002hu,0.0374,52592.0,0.1,"B,M,SA,SN",1.05,0.03,B,-19.59,0.06,-0.14,0.03,-0.13,0.04,CfA3,,5.0,34.58358333333333,37.46633333333335,0.038,0.001,16.582,0.011000000000000001,0.096,0.134,-0.052000000000000005,0.01,36.163000000000004,0.177,9.1,64.6,-9897.0,-0.7,SS,91T,sn02hu,0.038,0.001,16.607,0.138,1.009,0.006999999999999999,-0.026,0.004,36.15,0.158,sn02hu,0.038,0.001,-0.193,0.051,0.055999999999999994,0.047,36.289,0.128
107,2002hw,0.0175,52595.4,0.1,"B,M,SN",1.44,0.08,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA3,,5.0,1.7044166666666667,8.63013888888889,0.016,0.001,16.680999999999994,0.031,-2.245,0.255,0.531,0.026000000000000002,34.574,0.245,35.0,113.7,-10857.0,-3.2,CL,N,sn02hw,0.016,0.001,16.625999999999998,0.139,0.748,0.009000000000000001,0.459,0.008,34.59,0.221,sn02hw,0.016,0.001,0.741,0.095,1.031,0.159,34.037,0.21600000000000003
108,2002jg,0.0157,52609.6,0.1,"B,M,SA,SN",1.42,0.07,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,Gan10,,4.0,334.86999999999995,29.38458333333333,,,,,,,,,,,30.2,102.5,-11848.0,-3.4,CL,N,,,,,,,,,,,,,,,,,,,,
109,2002jy,0.0196,52634.0,0.4,"B,M,SA,SN",0.88,0.06,B,-19.58,0.08,-0.15,0.05,-0.14,0.05,CfA3,,11.0,20.317791666666672,40.49869444444445,0.02,0.001,15.69,0.013000000000000001,0.8190000000000001,0.16699999999999998,0.011000000000000001,0.013000000000000001,35.19,0.214,4.5,86.3,-10938.0,0.1,CN,N,sn02jy,0.02,0.001,15.743,0.138,1.08,0.009000000000000001,0.053,0.005,35.169000000000004,0.197,sn02jy,0.02,0.001,-0.19699999999999998,0.068,0.10800000000000001,0.076,35.275,0.184
110,2002kf,0.0193,52638.2,0.1,"B,M,SA,SN",1.2,0.07,B,-19.3,0.08,-0.13,0.06,-0.13,0.05,CfA3,,11.0,99.31379166666666,49.852833333333336,0.019,0.001,15.651,0.027000000000000003,-1.37,0.16399999999999998,0.023,0.018000000000000002,34.893,0.22,,,,,,,sn02kf,0.019,0.001,15.659,0.138,0.868,0.005,0.019,0.005,34.912,0.2,sn02kf,0.019,0.001,0.158,0.068,0.08,0.057,35.025,0.18600000000000003
111,2003U,0.0281,52677.3,0.1,"B,M,SA,SN",1.46,0.1,B,-19.12,0.1,-0.07,0.06,-0.05,0.06,CfA3,,3.0,260.69024999999993,62.163999999999994,0.027999999999999997,0.001,16.457,0.043,-2.613,0.542,0.03,0.033,35.55300000000001,0.217,22.0,116.0,-11368.0,-0.7,BL,N,sn03U,0.028,0.001,16.480999999999998,0.138,0.762,0.008,0.07200000000000001,0.006999999999999999,35.463,0.173,,,,,,,,,
112,2003W,0.0201,52679.7,0.0,"B,M,SA,SN",1.14,0.04,B,-19.31,0.09,-0.01,0.04,0.03,0.05,CfA3,,17.0,146.70616666666666,16.04377777777778,0.021,0.001,15.853,0.01,-0.275,0.095,0.19,0.01,34.796,0.209,5.3,103.4,-14994.0,-0.4,BL,HV,sn03W,0.021,0.001,15.865,0.138,0.932,0.001,0.189,0.004,34.757,0.192,,,,,,,,,
113,2003Y,0.0169,52676.7,0.2,"B,M",1.65,0.08,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,Gan10,,3.0,133.64416666666665,57.17216666666666,,,,,,,,,,,57.8,102.5,-10877.0,-3.4,CL,91bg,,,,,,,,,,,,,,,,,,,,
114,2003cg,0.0041,52729.4,0.4,"B,SA,SN",1.26,0.05,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,"CfA3,Gan10",,18.0,153.5665416666666,3.467361111111112,,,,,,,,,,,18.8,93.7,-11373.0,-0.2,CN,N,,,,,,,,,,,,,,,,,,,,
