,,SN,F_b,F_b_err,F_r,F_r_err,pEW,pEW_err,d_pEW,d_pEW_err,v,v_err,a,a_err,FWHM,FWHM_err
SN,1989B,7.54,315.52,0.97,226.66,1.8,46.5,2.6,-12.6,13.7,6.85,0.11,0.282,0.006999999999999999,241.9,3.1
SN,1989M,2.49,31.44,0.08,29.48,0.09,91.5,5.2,15.3,14.4,10.03,0.11,0.39299999999999996,0.002,274.6,2.4
SN,1989M,3.48,35.49,0.11,32.33,0.12,89.8,5.1,15.6,14.4,9.6,0.11,0.397,0.003,270.6,2.4
SN,1990N,7.11,44.46,0.22,34.88,0.19,75.0,3.1,13.7,13.8,7.87,0.11,0.348,0.008,259.1,4.9
SN,1991T,6.8,24.83,0.14,20.75,0.12,47.6,2.0,-15.1,13.6,7.83,0.11,0.204,0.005,258.5,4.9
SN,1994D,-12.31,14.25,0.07,10.8,0.06,45.2,2.6,16.6,13.7,11.17,0.11,0.225,0.005,253.6,2.4
SN,1994D,-11.31,14.33,0.14,10.25,0.11,63.2,3.6,26.9,13.9,10.62,0.11,0.275,0.005,273.6,2.4
SN,1994D,-9.32,28.76,0.1,23.48,0.1,60.7,3.5,10.8,13.9,10.83,0.11,0.276,0.005,261.6,2.4
SN,1994D,-7.67,32.6,0.07,24.61,0.09,49.4,3.0,-9.7,13.8,10.3,0.11,0.24,0.004,251.6,2.4
SN,1994D,-6.32,45.59,0.17,35.46,0.14,55.1,3.3,-10.3,13.9,9.64,0.11,0.265,0.005,253.6,2.4
SN,1994D,-5.32,46.56,0.22,36.13,0.18,55.8,3.4,-13.3,13.9,9.86,0.11,0.265,0.006,257.6,2.4
SN,1994D,-3.87,66.48,0.18,53.56,0.24,56.5,3.4,-17.0,13.9,9.75,0.11,0.264,0.004,257.6,2.4
SN,1994D,-3.33,63.65,0.14,51.73,0.18,60.3,3.6,-14.5,13.9,9.64,0.11,0.284,0.004,257.6,2.4
SN,1994S,1.11,12.0,0.07,9.99,0.1,79.4,4.6,1.5,14.2,9.11,0.11,0.341,0.003,269.9,2.4
SN,1995D,3.84,23.16,0.09,19.13,0.08,89.2,4.9,15.9,14.3,8.41,0.11,0.376,0.002,272.2,2.4
SN,1995E,-2.46,1.61,0.02,1.53,0.01,63.1,3.9,-13.3,14.0,9.47,0.11,0.316,0.008,110.7,2.4
SN,1997Y,1.27,5.26,0.03,4.42,0.04,79.7,4.7,2.0,14.3,8.46,0.11,0.37799999999999995,0.005,263.8,2.4
SN,1997bp,5.49,12.47,0.08,10.22,0.06,46.9,2.7,-21.3,13.7,12.85,0.11,0.196,0.004,259.8,2.4
SN,1997br,-4.84,12.44,0.09,9.86,0.05,27.6,1.8,-43.1,13.6,11.05,0.11,0.1,0.005,236.4,2.4
SN,1997do,-5.67,4.81,0.05,3.88,0.02,61.1,3.7,-6.8,14.0,11.66,0.11,0.27899999999999997,0.005,257.4,2.4
SN,1998V,7.2,5.18,0.02,4.06,0.02,40.8,3.6,-20.0,13.9,8.96,0.11,0.23199999999999998,0.003,100.0,1.2
SN,1998dk,-7.24,3.64,0.05,2.75,0.01,68.3,4.1,7.0,14.1,12.25,0.11,0.325,0.009000000000000001,138.2,2.4
SN,1998dk,-0.54,5.99,0.03,5.44,0.01,83.5,4.7,5.3,14.3,10.81,0.11,0.35200000000000004,0.003,270.4,2.4
SN,1998dm,-12.48,2.46,0.02,1.9,0.01,41.3,2.6,14.1,13.7,11.03,0.11,0.231,0.004,168.9,2.4
SN,1998dm,-5.61,5.92,0.03,4.56,0.01,55.4,3.4,-12.7,13.9,9.83,0.11,0.24,0.005,262.3,2.4
SN,1998dx,5.13,0.57,0.01,0.46,0.01,76.5,4.7,7.1,14.2,8.14,0.11,0.371,0.012,254.2,2.3
SN,1998ef,-8.62,2.54,0.03,1.88,0.02,77.5,4.8,23.5,14.3,12.59,0.11,0.386,0.008,249.6,2.4
SN,1998es,0.28,14.08,0.09,11.59,0.04,74.2,4.1,-4.1,14.1,8.83,0.11,0.29,0.003,287.0,2.4
SN,1999aa,0.24,1.94,0.03,1.55,0.01,82.0,4.4,3.7,14.2,9.23,0.11,0.318,0.003,281.9,2.4
SN,1999ac,-3.7,8.32,0.08,5.7,0.03,37.5,2.2,-36.4,13.6,7.45,0.11,0.158,0.004,275.4,2.4
SN,1999ac,-0.89,10.24,0.05,7.19,0.03,57.4,3.3,-20.7,13.8,6.48,0.11,0.258,0.003,255.6,2.4
SN,1999cp,4.91,10.49,0.06,9.71,0.02,84.4,5.0,14.3,14.3,7.97,0.11,0.408,0.004,261.5,2.4
SN,1999da,-2.12,1.58,0.01,1.4,0.01,55.3,3.3,-21.7,13.9,7.2,0.11,0.294,0.003,244.9,2.4
SN,1999dk,-6.6,4.53,0.03,3.81,0.02,73.9,4.4,9.8,14.1,12.43,0.11,0.33,0.004,271.9,2.4
SN,1999dq,-3.93,5.8,0.07,4.35,0.02,36.3,2.3,-37.1,13.6,10.18,0.11,0.153,0.013000000000000001,252.4,2.4
SN,1999dq,2.97,6.08,0.02,5.6,0.02,77.8,4.5,2.5,14.2,9.73,0.11,0.37,0.003,264.2,2.4
SN,1999ek,5.66,1.2,0.05,1.14,0.03,63.6,4.0,-3.8,14.0,8.08,0.11,0.335,0.006,110.1,2.4
SN,1999gd,-1.12,1.08,0.01,1.0,0.01,75.6,2.9,-2.3,13.8,8.86,0.11,0.359,0.005,142.4,6.0
SN,1999gh,4.12,8.01,0.06,6.65,0.03,66.1,2.5,-6.4,13.7,6.47,0.11,0.363,0.005,248.1,6.1
SN,2000cp,2.92,0.39,0.01,0.33,0.0,114.4,6.6,39.0,15.0,7.41,0.11,0.488,0.006999999999999999,266.9,2.4
SN,2000cw,4.81,0.8,0.01,0.65,0.01,79.3,4.8,8.8,14.3,7.5,0.11,0.408,0.008,106.8,2.4
SN,2000dg,-5.09,0.55,0.01,0.43,0.0,55.6,3.5,-14.3,13.9,10.46,0.11,0.268,0.006999999999999999,115.6,2.4
SN,2000dg,4.66,0.7,0.01,0.6,0.01,61.7,3.7,-9.2,14.0,8.97,0.11,0.327,0.004,246.5,2.4
SN,2000dk,1.0,2.92,0.02,2.34,0.01,78.7,4.6,0.8,14.2,7.63,0.11,0.384,0.008,263.4,2.4
SN,2000dm,-1.63,2.32,0.02,1.83,0.01,60.1,3.7,-17.4,13.9,9.29,0.11,0.312,0.004,116.3,2.4
SN,2000dm,8.18,2.28,0.02,1.65,0.02,44.3,2.8,-11.4,13.7,7.57,0.11,0.27,0.006,244.3,2.4
SN,2000dn,-0.94,0.89,0.01,0.7,0.01,86.5,5.3,8.4,14.4,8.6,0.11,0.42,0.008,263.5,2.4
SN,2000ey,7.9,3.83,0.05,3.32,0.02,24.8,1.6,-32.5,13.5,10.33,0.11,0.127,0.005,184.2,2.4
SN,2000fa,-8.25,0.98,0.01,0.73,0.01,43.9,2.8,-12.2,13.7,12.87,0.11,0.21899999999999997,0.011000000000000001,88.1,2.4
SN,2000fa,6.86,1.8,0.02,1.32,0.01,50.5,3.0,-11.9,13.8,9.19,0.11,0.204,0.006999999999999999,256.5,2.4
SN,2001az,-3.24,0.54,0.01,0.42,0.01,53.5,3.4,-21.5,13.9,11.09,0.11,0.25,0.004,255.6,2.4
SN,2001bf,1.22,4.43,0.04,4.01,0.03,63.4,3.8,-14.4,14.0,6.85,0.11,0.308,0.004,139.8,2.4
SN,2001br,3.47,1.42,0.07,1.41,0.07,93.2,5.5,19.1,14.5,9.75,0.11,0.425,0.008,262.6,2.4
SN,2001bp,0.51,0.18,0.01,0.15,0.01,59.3,4.3,-18.9,14.1,9.56,0.11,0.312,0.013999999999999999,180.8,2.2
SN,2001cp,1.39,0.87,0.02,0.73,0.02,72.3,4.4,-5.4,14.1,9.09,0.11,0.318,0.004,105.6,2.4
SN,2001da,-1.12,2.79,0.03,2.7,0.02,87.3,5.0,9.3,14.4,9.38,0.11,0.391,0.003,269.4,2.4
SN,2001eh,-4.53,0.92,0.03,0.77,0.02,34.2,2.3,-37.5,13.7,9.73,0.11,0.15,0.016,77.1,2.4
SN,2001eh,3.26,0.79,0.01,0.73,0.01,72.3,4.3,-2.3,14.1,9.5,0.11,0.337,0.005,258.4,2.4
SN,2001ep,2.83,5.12,0.03,4.19,0.02,84.2,5.0,8.7,14.4,7.51,0.11,0.415,0.005,146.1,2.4
SN,2001ep,4.99,5.02,0.09,3.94,0.08,79.1,6.6,9.3,15.0,7.15,0.11,0.424,0.009000000000000001,162.0,1.2
SN,2001ep,5.97,4.99,0.05,3.94,0.04,76.7,6.5,10.5,14.9,6.99,0.11,0.419,0.006,164.0,1.2
SN,2001ep,7.85,5.08,0.04,3.97,0.03,56.8,3.5,-0.7,13.9,6.43,0.11,0.32899999999999996,0.006,250.7,2.4
SN,2001ex,-1.82,0.45,0.01,0.34,0.01,92.3,5.5,15.0,14.5,8.0,0.11,0.44,0.013000000000000001,257.2,2.4
SN,2001fe,-0.99,6.35,0.04,5.64,0.02,81.1,4.5,3.1,14.2,9.83,0.11,0.307,0.002,280.2,2.4
SN,2001fh,5.93,0.95,0.01,0.9,0.02,80.3,4.7,13.9,14.2,7.71,0.11,0.39299999999999996,0.006,144.1,2.4
SN,2001fh,7.84,0.91,0.01,0.76,0.01,47.7,4.2,-9.9,14.1,7.36,0.11,0.27899999999999997,0.006999999999999999,167.0,1.2
SN,2002aw,2.1,1.5,0.06,1.46,0.03,74.0,4.5,-2.8,14.2,8.15,0.11,0.36200000000000004,0.003,142.3,2.4
SN,2002bf,2.97,2.51,0.0,2.16,0.0,77.4,4.2,2.1,14.1,10.25,0.11,0.29600000000000004,0.002,287.1,2.4
SN,2002bo,-1.08,15.25,0.2,14.29,0.22,87.0,4.9,9.0,14.3,9.25,0.11,0.36700000000000005,0.006,276.8,2.4
SN,2002bz,4.92,0.44,0.01,0.39,0.01,98.0,5.7,27.9,14.6,8.79,0.11,0.44799999999999995,0.012,258.4,2.4
SN,2002cf,-0.75,1.32,0.03,1.15,0.01,61.5,3.7,-16.7,14.0,7.6,0.11,0.316,0.006,157.6,2.4
SN,2002ck,3.64,0.83,0.02,0.7,0.02,57.0,3.6,-16.7,13.9,8.81,0.11,0.308,0.005,248.6,2.4
SN,2002cr,-6.78,5.43,0.06,4.38,0.04,71.6,4.0,8.2,14.0,8.73,0.11,0.33,0.005,134.7,2.4
SN,2002cs,-7.76,1.3,0.02,1.12,0.01,71.2,4.1,12.5,14.1,12.76,0.11,0.33899999999999997,0.005,155.5,2.4
SN,2002cu,-5.28,1.07,0.03,0.96,0.02,65.7,4.4,-3.6,14.2,11.55,0.11,0.353,0.004,127.2,2.1
SN,2002dj,-7.98,4.97,0.08,3.94,0.06,60.9,3.7,3.4,14.0,12.21,0.11,0.298,0.005,120.9,2.4
SN,2002dk,-1.23,0.29,0.0,0.32,0.01,43.7,2.7,-34.2,13.7,6.99,0.11,0.23800000000000002,0.01,125.7,2.4
SN,2002eb,1.68,1.56,0.02,1.26,0.01,88.1,5.1,10.8,14.4,8.87,0.11,0.389,0.006,268.6,2.4
SN,2002ef,4.7,1.25,0.04,1.0,0.04,66.5,4.1,-4.3,14.1,8.27,0.11,0.309,0.009000000000000001,257.8,2.4
SN,2002er,-4.58,5.54,0.03,4.99,0.03,77.2,4.6,5.7,14.2,10.74,0.11,0.366,0.005,126.9,2.4
SN,2002er,5.26,7.11,0.06,5.99,0.02,77.7,4.6,8.8,14.2,8.46,0.11,0.354,0.005,261.8,2.4
SN,2002eu,-0.06,0.61,0.01,0.54,0.01,81.0,4.9,2.6,14.3,9.14,0.11,0.38299999999999995,0.011000000000000001,262.1,2.4
SN,2002fb,0.98,1.08,0.02,0.78,0.01,57.4,3.5,-20.6,13.9,7.18,0.11,0.28800000000000003,0.006,249.1,2.4
SN,2002fk,7.74,20.58,0.11,14.99,0.12,62.2,3.8,4.1,14.0,7.14,0.11,0.341,0.006,145.0,2.4
SN,2002ha,-0.85,4.46,0.03,3.61,0.01,74.1,4.5,-4.0,14.2,9.11,0.11,0.374,0.006999999999999999,153.8,2.4
SN,2002ha,4.93,4.45,0.04,3.79,0.04,80.6,4.7,10.5,14.3,8.13,0.11,0.391,0.006999999999999999,258.4,2.4
SN,2002ha,7.89,10.16,0.05,7.3,0.05,47.3,2.9,-10.1,13.8,7.69,0.11,0.27,0.006999999999999999,92.7,2.4
SN,2002hd,6.48,1.3,0.02,0.91,0.01,54.0,3.4,-10.1,13.9,7.44,0.11,0.306,0.006999999999999999,100.5,2.4
SN,2002he,-5.91,0.79,0.02,0.62,0.02,60.4,5.2,-6.6,14.4,11.6,0.11,0.31,0.003,250.0,1.2
SN,2002he,-1.03,1.91,0.04,1.67,0.03,76.9,6.4,-1.1,14.9,10.6,0.11,0.353,0.008,269.0,1.2
SN,2002he,0.29,1.69,0.01,1.45,0.01,85.5,4.9,7.2,14.3,9.82,0.11,0.373,0.001,275.2,2.4
SN,2002he,3.22,3.93,0.03,3.15,0.04,79.9,4.6,5.2,14.2,9.07,0.11,0.354,0.006,271.3,2.4
SN,2002hu,-5.81,0.6,0.01,0.44,0.01,42.3,2.8,-25.0,13.7,9.42,0.11,0.21899999999999997,0.008,137.0,2.4
SN,2002hw,-6.27,0.93,0.01,0.9,0.01,72.6,4.2,7.1,14.1,9.91,0.11,0.348,0.006999999999999999,253.6,2.4
SN,2002kf,6.81,2.66,0.02,2.18,0.02,81.5,4.8,18.9,14.3,8.17,0.11,0.387,0.005,261.0,2.4
SN,2003U,-2.55,0.81,0.01,0.68,0.02,66.9,4.2,-9.4,14.1,8.3,0.11,0.353,0.006999999999999999,93.5,2.4
SN,2003W,-5.06,0.66,0.01,0.62,0.02,68.6,4.1,-1.4,14.1,13.06,0.11,0.275,0.005,284.3,2.4
SN,2003ai,7.25,1.0,0.02,0.72,0.02,38.7,2.5,-21.9,13.7,7.44,0.11,0.205,0.008,79.2,2.4
SN,2003cq,-0.15,0.51,0.01,0.42,0.01,83.4,4.9,5.1,14.3,9.48,0.11,0.37,0.004,133.6,2.4
SN,2003gn,-5.38,0.19,0.01,0.16,0.01,82.0,5.3,13.0,14.4,9.83,0.11,0.39899999999999997,0.021,257.1,2.4
SN,2003gt,-5.07,2.7,0.06,2.39,0.03,48.4,3.2,-21.6,13.8,10.89,0.11,0.191,0.006,108.3,2.4
SN,2003he,2.71,1.34,0.02,1.38,0.02,50.3,3.2,-25.4,13.8,9.03,0.11,0.303,0.004,187.2,2.4
SN,2003iv,1.76,0.03,0.0,0.02,0.0,85.5,5.2,8.3,14.4,8.5,0.11,0.473,0.013999999999999999,166.3,2.4
SN,2003iv,6.58,0.21,0.01,0.18,0.01,68.5,4.4,4.8,14.1,7.76,0.11,0.385,0.004,197.2,2.4
SN,2003kf,-7.5,6.86,0.04,5.52,0.03,47.2,3.0,-12.8,13.8,10.96,0.11,0.23199999999999998,0.005,87.4,2.4
SN,2004E,5.26,1.66,0.02,1.44,0.01,38.4,2.5,-30.5,13.7,9.76,0.11,0.23,0.004,97.1,2.4
SN,2004S,8.26,7.38,0.01,5.8,0.01,49.6,3.1,-5.7,13.8,7.4,0.11,0.304,0.005,83.2,2.4
SN,2004bd,10.76,2.99,0.04,2.52,0.02,28.5,2.0,-11.0,13.6,5.76,0.11,0.212,0.004,71.4,2.4
SN,2004bk,6.13,2.29,0.03,1.74,0.01,62.4,3.7,-3.2,13.9,10.16,0.11,0.293,0.006,248.3,2.4
SN,2004bl,4.61,2.43,0.09,1.94,0.03,97.3,5.4,26.2,14.5,8.03,0.11,0.39399999999999996,0.004,265.4,2.4
SN,2004bv,9.77,11.02,0.08,7.99,0.06,44.5,2.8,-1.7,13.7,7.56,0.11,0.27,0.009000000000000001,126.7,2.4
SN,2004bw,6.59,1.39,0.01,1.14,0.02,67.8,4.1,4.2,14.1,7.77,0.11,0.361,0.005,205.6,2.4
SN,2004dt,-6.46,2.35,0.04,1.9,0.02,61.1,3.8,-3.6,14.0,10.68,0.11,0.321,0.006,107.9,2.4
SN,2004dt,1.38,3.66,0.02,2.83,0.02,84.7,3.1,7.1,13.8,8.7,0.11,0.363,0.005,127.5,6.0
SN,2004ef,-5.52,0.48,0.01,0.43,0.01,57.4,3.6,-11.1,13.9,11.06,0.11,0.297,0.006,252.2,2.4
SN,2004eo,-5.57,1.42,0.03,1.11,0.01,62.8,3.9,-5.5,14.0,9.38,0.11,0.322,0.008,250.1,2.4
SN,2004ey,-7.58,2.97,0.02,2.34,0.02,58.4,3.6,-1.2,13.9,10.82,0.11,0.29,0.006999999999999999,145.7,2.4
SN,2004fu,-2.65,3.87,0.03,3.7,0.03,89.7,5.2,13.5,14.4,9.64,0.11,0.389,0.004,271.5,2.4
SN,2004fu,2.43,4.42,0.05,4.01,0.02,102.5,5.7,26.3,14.6,8.22,0.11,0.43200000000000005,0.002,275.5,2.4
SN,2004fz,-5.18,3.06,0.05,2.46,0.02,70.3,4.1,0.7,14.1,9.42,0.11,0.36200000000000004,0.006999999999999999,159.2,2.4
SN,2004gs,0.44,0.72,0.01,0.6,0.01,85.3,5.0,7.1,14.4,7.34,0.11,0.38799999999999996,0.004,270.8,2.4
